,AccountID,AccountType,Industry,BusinessType,Country,Internal_External,f_parent
588,0012e0000037tRzAAI,Business Organization,Education,Not for profit,Australia,Internal,0
589,0012e0000037tS0AAI,Business Organization,Education,Not for profit,Australia,Internal,0
590,0012e0000037tS1AAI,Business Organization,Education,Not for profit,Australia,Internal,0
591,0012e0000037tS2AAI,Business Organization,Education,Not for profit,Australia,Internal,0
592,0012e0000037tS3AAI,Business Organization,,,,Internal,0
593,0012e0000037tS3AAI,Business Organization,Education,Not for profit,Australia,Internal,0
594,0012e0000037tS4AAI,Business Organization,Education,Not for profit,Australia,Internal,0
595,0012e0000037tS5AAI,Business Organization,Education,Not for profit,Australia,Internal,0
596,0012e0000037tS6AAI,Business Organization,Education,Not for profit,Australia,Internal,0
597,0012e0000037tS7AAI,Business Organization,Education,Not for profit,Australia,Internal,0
598,0012e0000037tS8AAI,Business Organization,Education,Not for profit,Australia,Internal,0
599,0012e0000037tS9AAI,Business Organization,Education,Not for profit,Australia,Internal,0
600,0012e0000037tSAAAY,Business Organization,Education,Not for profit,Australia,Internal,0
601,0012e0000037tSBAAY,Business Organization,Education,Not for profit,Australia,Internal,0
602,0012e0000037tSCAAY,Business Organization,Education,Not for profit,Australia,Internal,0
603,0012e0000037tSDAAY,Business Organization,Education,Not for profit,Australia,Internal,0
604,0012e0000037tSEAAY,Business Organization,Education,Not for profit,Australia,Internal,0
605,0012e0000037tSFAAY,Business Organization,Education,Not for profit,Australia,Internal,0
606,0012e0000037tSGAAY,Business Organization,Education,Not for profit,Australia,Internal,0
607,0012e0000037tSHAAY,Business Organization,Education,Not for profit,Australia,Internal,0
608,0012e0000037tSIAAY,Business Organization,Education,Not for profit,Australia,Internal,0
609,0012e0000037tSJAAY,Business Organization,Education,Not for profit,Australia,Internal,0
610,0012e0000037tSKAAY,Business Organization,Education,Not for profit,Australia,Internal,0
611,0012e0000037tSLAAY,Business Organization,Education,Not for profit,Australia,Internal,0
612,0012e0000037tSMAAY,Business Organization,Education,Not for profit,Australia,Internal,0
613,0012e0000037tSNAAY,Business Organization,Education,Not for profit,Australia,Internal,0
614,0012e0000037tSOAAY,Business Organization,Education,Not for profit,Australia,Internal,0
615,0012e0000037tSPAAY,Business Organization,Education,Not for profit,Australia,Internal,0
616,0012e0000037tSQAAY,Business Organization,Education,Not for profit,Australia,Internal,0
617,0012e0000037tSRAAY,Business Organization,Education,Not for profit,Australia,Internal,0
618,0012e0000037tSSAAY,Business Organization,Education,Not for profit,Australia,Internal,0
619,0012e0000037tSTAAY,Business Organization,Education,Not for profit,Australia,Internal,0
620,0012e0000037tSUAAY,Business Organization,Education,Not for profit,Australia,Internal,0
621,0012e0000037tSVAAY,Business Organization,Education,Not for profit,Australia,Internal,0
622,0012e0000037tSWAAY,Business Organization,Education,Not for profit,Australia,Internal,0
623,0012e0000037tSXAAY,Business Organization,Education,Not for profit,Australia,Internal,0
624,0012e0000037tSYAAY,Business Organization,Education,Not for profit,Australia,Internal,0
625,0012e0000037tSZAAY,Business Organization,Education,Not for profit,Australia,Internal,0
626,0012e0000037tSaAAI,Business Organization,Education,Not for profit,Australia,Internal,0
627,0012e0000037tSbAAI,Business Organization,Education,Not for profit,Australia,Internal,0
628,0012e0000037tScAAI,Business Organization,Education,Not for profit,Australia,Internal,0
629,0012e0000037tSdAAI,Business Organization,Education,Not for profit,Australia,Internal,0
630,0012e0000037tSeAAI,Business Organization,Education,Not for profit,Australia,Internal,0
631,0012e0000037tSfAAI,Business Organization,Education,Not for profit,Australia,Internal,0
632,0012e0000037tSgAAI,Business Organization,Education,Not for profit,Australia,Internal,0
633,0012e0000037tShAAI,Business Organization,Education,Not for profit,Australia,Internal,0
634,0012e0000037tSiAAI,Business Organization,Education,Not for profit,Australia,Internal,0
635,0012e0000037tSjAAI,Business Organization,Education,Not for profit,Australia,Internal,0
