id,emails,calls,meetings,tasks,events,other,total_contacts,first_contact,first_month,three_month
0062e000002HH2aAAG,21,0,0,0,0,0,21,0,14,14
0062e000002HH2CAAW,3,0,0,0,0,0,3,0,3,3
0062e000002HH2DAAW,11,0,0,0,0,0,11,-5,10,10
0062e000002HH2HAAW,1,0,0,0,0,0,1,-6,1,1
0062e000002HH2JAAW,12,0,0,0,0,0,12,-16,12,12
0062e000002HH2lAAG,1,0,0,0,0,0,1,835,0,0
0062e000002HH2MAAW,50,0,0,0,0,0,50,297,0,0
0062e000002HH35AAG,18,0,0,0,0,0,18,650,0,0
0062e000002HH3EAAW,1,0,0,0,0,0,1,148,0,0
0062e000002HH3KAAW,9,0,0,0,0,0,9,0,6,6
0062e000002HH3xAAG,1,0,0,0,0,0,1,62,0,1
0062e000002HH3yAAG,1,0,0,0,0,0,1,59,0,1
0062e000002HH41AAG,1,0,0,0,0,0,1,0,1,1
0062e000002HH45AAG,1,0,0,0,0,0,1,62,0,1
0062e000002HH4DAAW,1,0,0,0,0,0,1,59,0,1
0062e000002HH4EAAW,13,0,0,0,0,0,13,46,0,13
0062e000002HH4FAAW,4,0,0,0,0,0,4,245,0,0
0062e000002HH4IAAW,1,0,0,0,0,0,1,184,0,0
0062e000002HH4RAAW,1,0,0,0,0,0,1,18,1,1
0062e000002HH5NAAW,32,0,0,0,0,0,32,-13,32,32
0062e000002HH6dAAG,1,0,0,0,0,0,1,221,0,0
0062e000002HH6YAAW,3,0,0,0,0,0,3,-5,3,3
0062e000002HH84AAG,1,0,0,0,0,0,1,104,0,0
0062e000002HH86AAG,34,0,0,0,0,0,34,311,0,0
0062e000002HH8FAAW,73,0,0,0,0,0,73,-8,66,68
0062e000002HH90AAG,29,0,0,0,0,0,29,42,0,18
0062e000002HH96AAG,7,0,0,0,0,0,7,642,0,0
0062e000002HH9HAAW,93,0,0,0,0,0,93,0,70,92
0062e000002HH9JAAW,1,0,0,0,0,0,1,236,0,0
0062e000002HH9WAAW,1,0,0,0,0,0,1,507,0,0
0062e000002HHAwAAO,7,0,0,0,0,0,7,52,0,6
0062e000002HHB1AAO,6,0,0,0,0,0,6,-7,6,6
0062e000002HHB6AAO,2,0,0,0,0,0,2,255,0,0
0062e000002HHB7AAO,1,0,0,0,0,0,1,282,0,0
0062e000002HHBBAA4,1,0,0,0,0,0,1,0,1,1
0062e000002HHBcAAO,3,0,0,0,0,0,3,-5,3,3
0062e000002HHBdAAO,4,0,0,0,0,0,4,54,0,4
0062e000002HHBIAA4,3,0,0,0,0,0,3,230,0,0
0062e000002HHBuAAO,1,0,0,0,0,0,1,80,0,1
0062e000002HHBxAAO,3,0,0,0,0,0,3,564,0,0
0062e000002HHBZAA4,1,0,0,0,0,0,1,161,0,0
0062e000002HHC4AAO,1,0,0,0,0,0,1,729,0,0
0062e000002HHCNAA4,3,0,0,0,0,0,3,421,0,0
0062e000002HHCRAA4,1,0,0,0,0,0,1,445,0,0
0062e000002HHD8AAO,2,0,0,0,0,0,2,192,0,0
0062e000002HHDiAAO,16,0,0,0,0,0,16,-35,16,16
0062e000002HHEFAA4,4,0,0,0,0,0,4,0,3,3
0062e000002HHEIAA4,1,0,0,0,0,0,1,611,0,0
0062e000002HHELAA4,1,0,0,0,0,0,1,1,1,1
0062e000002HHEqAAO,1,0,0,0,0,0,1,296,0,0
0062e000002HHEWAA4,13,0,0,0,0,0,13,-4,13,13
0062e000002HHFfAAO,3,0,0,0,0,0,3,98,0,0
0062e000002HHFhAAO,1,0,0,0,0,0,1,23,1,1
0062e000002HHFjAAO,29,0,0,0,0,0,29,63,0,11
0062e000002HHFWAA4,2,0,0,0,0,0,2,0,2,2
0062e000002HHIMAA4,1,0,0,0,0,0,1,4,1,1
0062e000002HHImAAO,1,0,0,0,0,0,1,505,0,0
0062e000002HHINAA4,5,0,0,0,0,0,5,130,0,0
0062e000002HHIsAAO,2,0,0,0,0,0,2,272,0,0
0062e000002HHJ1AAO,1,0,0,0,0,0,1,330,0,0
0062e000002HHKWAA4,2,0,0,0,0,0,2,0,2,2
0062e000002HHLRAA4,1,0,0,0,0,0,1,109,0,0
0062e000002HHNvAAO,94,0,0,0,0,0,94,-20,94,94
0062e000002HHPoAAO,1,0,0,0,0,0,1,0,1,1
0062e000002HHQQAA4,1,0,0,0,0,0,1,127,0,0
0062e000002Hu8MAAS,3,0,0,0,0,0,3,63,0,3
0062e000002HzqAAAS,1,0,0,0,0,0,1,38,0,1
0062e000002IFxHAAW,5,0,0,0,0,0,5,-41,2,2
0062e000002IkahAAC,1,0,0,0,0,0,1,67,0,1
0062e000002IkibAAC,1,0,0,0,0,0,1,67,0,1
0062e000002IkmTAAS,1,0,0,0,0,0,1,67,0,1
0062e000002IknvAAC,1,0,0,0,0,0,1,67,0,1
0062e000002ILYxAAO,7,0,0,0,0,0,7,-51,2,7
0062e000002IU1fAAG,3,0,0,0,0,0,3,-78,2,3
0062e000002IVLcAAO,1,0,0,0,0,0,1,8,1,1
0062e000002IyEfAAK,2,0,0,0,0,0,2,-1,1,2
0062e000002IzN9AAK,1,0,0,0,0,0,1,98,0,0
0062e000002J0ZdAAK,1,0,0,0,0,0,1,76,0,1
0062e000002Jaz9AAC,1,0,0,0,0,0,1,-21,1,1
0062e000002JBARAA4,77,0,0,0,0,0,77,-4,23,38
0062e000002JdEBAA0,2,0,0,0,0,0,2,37,0,2
0062e000002JfKHAA0,1,0,0,0,0,0,1,-43,1,1
0062e000002JfNQAA0,1,0,0,0,0,0,1,-6,1,1
0062e000002JfPgAAK,1,0,0,0,0,0,1,-3,1,1
0062e000002JfxiAAC,1,0,0,0,0,0,1,0,1,1
0062e000002JjapAAC,9,0,0,0,0,0,9,0,9,9
0062e000002JldZAAS,1,0,0,0,0,0,1,61,0,1
0062e000002Jm6lAAC,1,0,0,0,0,0,1,37,0,1
0062e000002Jnz1AAC,5,0,0,0,0,0,5,8,4,4
0062e000002JoNNAA0,1,0,0,0,0,0,1,37,0,1
0062e000002JPeBAAW,42,0,0,0,0,0,42,12,32,36
0062e000002JQUJAA4,10,0,0,0,0,0,10,4,1,1
0062e000002JQY5AAO,1,0,0,0,0,0,1,59,0,1
0062e000002JRelAAG,30,0,0,0,0,0,30,6,8,28
0062e000002JZ5PAAW,1,0,0,0,0,0,1,339,0,0
0062e000002K3jpAAC,1,0,0,0,0,0,1,-24,1,1
0062e000002KcSIAA0,1,0,0,0,0,0,1,43,0,1
0062e000002KdNWAA0,3,0,0,0,0,0,3,0,3,3
0062e000002KdTaAAK,1,0,0,0,0,0,1,1,1,1
0062e000002KDYgAAO,1,0,0,0,0,0,1,1,1,1
0062e000002Kg8nAAC,1,0,0,0,0,0,1,-31,1,1
0062e000002KGccAAG,1,0,0,0,0,0,1,150,0,0
0062e000002KIlzAAG,5,0,0,0,0,0,5,-16,5,5
0062e000002KKa7AAG,1,0,0,0,0,0,1,-1,1,1
0062e000002KKOzAAO,1,0,0,0,0,0,1,0,1,1
0062e000002KlFDAA0,1,0,0,0,0,0,1,35,0,1
0062e000002KLOOAA4,2,0,0,0,0,0,2,-1,2,2
0062e000002KLVtAAO,70,0,0,0,0,0,70,-17,17,18
0062e000002KognAAC,70,0,0,0,0,0,70,1,18,18
0062e000002KozXAAS,3,0,0,0,0,0,3,-1,3,3
0062e000002KP25AAG,3,0,0,0,0,0,3,48,0,2
0062e000002Ks88AAC,4,0,0,0,0,0,4,1,4,4
0062e000002KU6ZAAW,2,0,0,0,0,0,2,0,2,2
0062e000002KUL0AAO,4,0,0,0,0,0,4,-49,4,4
0062e000002KV41AAG,18,0,0,0,0,0,18,0,18,18
0062e000002KWdvAAG,6,0,0,0,0,0,6,3,4,6
0062e000002KWkDAAW,6,0,0,0,0,0,6,1,6,6
0062e000002KWYgAAO,10,0,0,0,0,0,10,-3,9,10
0062e000002KYKCAA4,4,0,0,0,0,0,4,-6,4,4
0062e000002L2jvAAC,2,0,0,0,0,0,2,0,2,2
0062e000002LAPKAA4,2,0,0,0,0,0,2,4,2,2
0062e000002LcOKAA0,2,0,0,0,0,0,2,109,0,0
0062e000002LCXbAAO,10,0,0,0,0,0,10,1,4,10
0062e000002LcYwAAK,5,0,0,0,0,0,5,9,5,5
0062e000002Ld4LAAS,2,0,0,0,0,0,2,-14,2,2
0062e000002LdAnAAK,5,0,0,0,0,0,5,-5,5,5
0062e000002LddBAAS,3,0,0,0,0,0,3,-11,3,3
0062e000002LhaRAAS,1,0,0,0,0,0,1,0,1,1
0062e000002Lhm3AAC,2,0,0,0,0,0,2,-14,2,2
0062e000002Li8xAAC,2,0,0,0,0,0,2,-57,2,2
0062e000002LRbdAAG,11,0,0,0,0,0,11,-6,11,11
0062e000002LRlUAAW,157,0,0,0,0,0,157,-6,1,6
0062e000002LSoxAAG,1,0,0,0,0,0,1,0,1,1
0062e000002LyQCAA0,2,0,0,0,0,0,2,-7,1,2
0062e000002M5hoAAC,1,0,0,0,0,0,1,0,1,1
0062e000002M7hlAAC,7,0,0,0,0,0,7,4,6,6
0062e000002M9hrAAC,3,0,0,0,0,0,3,161,0,0
0062e000002MAk8AAG,2,0,0,0,0,0,2,17,2,2
0062e000002MAkhAAG,2,0,0,0,0,0,2,16,2,2
0062e000002MaqJAAS,1,0,0,0,0,0,1,1,1,1
0062e000002Md19AAC,1,0,0,0,0,0,1,12,1,1
0062e000002MdacAAC,1,0,0,0,0,0,1,0,1,1
0062e000002MEcHAAW,3,0,0,0,0,0,3,-9,1,2
0062e000002MHfhAAG,2,0,0,0,0,0,2,-1,2,2
0062e000002MJcaAAG,4,0,0,0,0,0,4,-15,4,4
0062e000002MkCYAA0,6,0,0,0,0,0,6,0,1,4
0062e000002MKn3AAG,1,0,0,0,0,0,1,-8,1,1
0062e000002MRFPAA4,2,0,0,0,0,0,2,0,2,2
0062e000002MscaAAC,1,0,0,0,0,0,1,0,1,1
0062e000002Mt4ZAAS,4,0,0,0,0,0,4,16,3,4
0062e000002MU2TAAW,3,0,0,0,0,0,3,1,3,3
0062e000002MvdqAAC,2,0,0,0,0,0,2,105,0,0
0062e000002MVppAAG,10,0,0,0,0,0,10,0,9,10
0062e000002MYOSAA4,3,0,0,0,0,0,3,0,3,3
0062e000002MYYXAA4,15,0,0,0,0,0,15,154,0,0
0062e000002MzkXAAS,8,0,0,0,0,0,8,-1,6,8
0062e000002MZvxAAG,2,0,0,0,0,0,2,61,0,1
0062e000002N07oAAC,1,0,0,0,0,0,1,0,1,1
0062e000002N6SNAA0,1,0,0,0,0,0,1,6,1,1
0062e000002NG6MAAW,3,0,0,0,0,0,3,144,0,0
0062e000002NHl4AAG,7,0,0,0,0,0,7,0,3,4
0062e000002NIG7AAO,1,0,0,0,0,0,1,72,0,1
0062e000002NIucAAG,3,0,0,0,0,0,3,143,0,0
0062e000002NJCZAA4,1,0,0,0,0,0,1,27,1,1
0062e000002Nki8AAC,4,0,0,0,0,0,4,145,0,0
0062e000002NmqOAAS,2,0,0,0,0,0,2,65,0,2
0062e000002NMsMAAW,1,0,0,0,0,0,1,0,1,1
0062e000002NpGqAAK,1,0,0,0,0,0,1,0,1,1
0062e000002NpT1AAK,1,0,0,0,0,0,1,0,1,1
0062e000002NRieAAG,3,0,0,0,0,0,3,1,3,3
0062e000002NRpiAAG,1,0,0,0,0,0,1,0,1,1
0062e000002NTFjAAO,1,0,0,0,0,0,1,76,0,1
0062e000002NXCMAA4,2,0,0,0,0,0,2,1,2,2
0062e000002O2CDAA0,6,0,0,0,0,0,6,21,4,6
0062e000002OdKZAA0,20,0,0,0,0,0,20,65,0,17
0062e000002ODqKAAW,6,0,0,0,0,0,6,14,6,6
0062e000002OEemAAG,1,0,0,0,0,0,1,-1,1,1
0062e000002OGH7AAO,1,0,0,0,0,0,1,80,0,1
0062e000002OJxpAAG,4,0,0,0,0,0,4,35,0,4
0062e000002On22AAC,12,0,0,0,0,0,12,0,11,12
0062e000002OoUxAAK,4,0,0,0,0,0,4,89,0,1
0062e000002ORgwAAG,5,0,0,0,0,0,5,0,5,5
0062e000002OtaoAAC,1,0,0,0,0,0,1,35,0,1
0062e000002OxGnAAK,87,0,0,0,0,0,87,-30,66,80
0062e000002OzJTAA0,4,0,0,0,0,0,4,25,2,4
0062e000002P4KZAA0,2,0,0,0,0,0,2,-4,2,2
0062e000002P4LSAA0,3,0,0,0,0,0,3,0,3,3
